Slice,Count,Total Area,Average Size,%Area,Mean
AMPHIT1_S_20150706_20150803.JPG (red),249,796.965,3.201,5.032,254.978
AMPHIT1_N_20150706_20150803.JPG (red),240,777.958,3.241,4.643,254.969
AMPHIT1_S_20150617_20150706.JPG (red),547,1686.612,3.083,10.669,254.952
AMPHIT2_E_20150706_20150803.JPG (red).tif,139,546.772,3.934,3.421,242.165
AMPHIT2_S_20150617_20150706.JPG (red),105,309.12,2.944,1.783,254.985
AMPHIT2_W_20150706_20150803.JPG (red),307,516.989,1.684,3.178,254.975
BARRET1SM_N_20150616_20150704.jpg (red),59,141.805,2.403,0.847,253.746
BARRET1SM_N_20150704_20150804.JPG (red),623,775.085,1.244,4.478,249.547
BARRET1SM_S_20150616_20150704.jpg (red),48,126.735,2.64,0.712,254.978
BARRET1SM_S_20150704_20150804.JPG (red),520,886.174,1.704,5.413,247.418
BARRET2SM_N_20150616_02150704.jpg (red),122,322.52,2.644,1.904,244.782
BARRET2SM_N_20150704_20150804.JPG (red),358,806.111,2.252,4.933,254.974
BARRET2SM_S_20150616_20150704.jpg (red),146,309.186,2.118,1.783,254.953
BARRET2SM_S_20150704_20150804.JPG (red),220,417.928,1.9,2.591,254.976
CENTER1_E_20150623_20150716.JPG (red),252,524.456,2.081,3.009,252.228
CENTER1_E_20150716_20150812.JPG (red),326,1287.963,3.951,7.98,254.978
CENTER1_W_20150623_20150716.JPG (red),410,868.286,2.118,4.898,254.976
CENTER1SM_W_20150716_20150812.JPG (red),345,1460.079,4.232,8.989,251.96
CENTER2SM_N_20150623_20150716.JPG (red),103,252.161,2.448,1.453,250.801
CENTER2SM_N_20150716_20150812.JPG (red),260,997.019,3.835,6.181,246.233
CENTER2SM_S_20150623_20150716.JPG (red),155,247.836,1.599,1.507,254.989
UPKERN1_E_20150621_20150721.JPG (red),845,1691.093,2.001,9.937,252.695
UPKERN1SM_E_20150721_20150814.JPG (red),136,315.738,2.322,2.06,254.989
UPKERN1SM_N_20150621_21050721.JPG (red),206,647.757,3.144,3.738,254.986
UPKERN1SM_W_20150721_20150814.JPG (red),98,499.001,5.092,3.109,251.731
UPKERN2_E_20150721_20150814.JPG (red),198,476.215,2.405,2.944,254.984
UPKERN2_N_20150621_20150721.JPG (red),256,732.525,2.861,4.596,254.979
UPKERN2_S_20150621_20150721.JPG (red),447,1220.97,2.731,7.186,252.756
UPKERN2_W_20150721_20150814.JPG (red),186,548.543,2.949,3.512,254.973
WRIGHT1_N_20150619_20150719.JPG (red),107,209.286,1.956,1.299,254.995
WRIGHT1_N_20150719_20150817.JPG (red),153,331.599,2.167,2.026,254.984
WRIGHT1_S_20150619_20150719.JPG (red),80,132.45,1.656,0.852,253.863
WRIGHT1_S_20150719_20150817.JPG (red),136,371.602,2.732,2.42,251.484
WRIGHT2_N_20150619_20150719.JPG (red),104,244.896,2.355,1.477,254.98
WRIGHT2_N_20150719_20150817.JPG (red),163,378.969,2.325,2.334,250.476
WRIGHT2_S_20150619_20150719.JPG (red),138,281.483,2.04,1.729,250.249
WRIGHT2_S_20150719_20150817.JPG (red),226,650.422,2.878,4.092,250.411